30
1	5
2	15 7
2	0 2
1	0
1	2
2	0 2
2	0 2
2	2 3
3	0 2 4
11	0 0 0 2 2 2 3 4 3 5 7
5	2 3 3 3 4
5	3 3 3 2 4
4	8 8 2 3
6	21 21 3 3 8 4
7	22 21 18 2 3 4 5
1	23
3	23 23 23
4	20 20 4 4
5	15 15 15 7 7
21	4 4 5 5 6 6 7 7 16 15 15 15 15 18 18 18 21 21 21 21 22
40	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20	2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4
10	5 5 5 5 5 0 0 0 0 0
8	23 23 23 23 23 23 23 23
4	32 23 23 32
18	5 5 15 15 7 7 0 0 0 0 2 2 2 2 4 4 3 3
12	6 6 6 6 7 7 7 7 8 8 8 8
12	12 12 12 12 18 18 18 18 22 22 22 22
24	0 0 0 0 2 2 4 4 3 3 5 5 8 8 12 12 18 18 21 21 15 15 7 7
99	5 5 5 5 5 15 15 15 15 15 7 7 7 7 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 3 3 3 3 3 5 5 5 5 5 8 8 8 8 8 8 8 8 8 8 12 12 12 12 18 18 18 18 18 21 21 21 21 21 21 21 21 23 23 23 23 23 23 23 23 32 32 32 32
